fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
0,bi_tagalog_cebuano,cebuano_test,xlmr,75.7143,0.745,0.757,0.153,0.6062,CEB+TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.722
0,bi_tagalog_cebuano,tagalog_test,all_xlmr,58.4906,0.609,0.585,0.223,0.3642,CEB+TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.5630000000000001
0,bi_tagalog_cebuano,bikol_test,all_xlmr,66.6667,0.822,0.667,0.092,0.5169,CEB+TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.652
0,bi_tagalog_cebuano,cebuano_test,all_xlmr,87.1429,0.87,0.871,0.089,0.7932,CEB+TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.8653333333333334
0,all_languages,tagalog_test,trad,54.717,0.59,0.547,0.225,0.3212,ALL,TGL,TRAD,TGL | TRAD,0.5226666666666667
0,all_languages,bikol_test,trad,76.6667,0.79,0.767,0.107,0.6335,ALL,BCL,TRAD,BCL | TRAD,0.726
0,all_languages,cebuano_test,trad,85.7143,0.854,0.857,0.093,0.7691,ALL,CEB,TRAD,CEB | TRAD,0.8380000000000001
0,all_languages,tagalog_test,trad_clgsngo,52.8302,0.525,0.528,0.248,0.2838,ALL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.5176666666666666
0,all_languages,bikol_test,trad_clgsngo,73.3333,0.725,0.733,0.159,0.5652,ALL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.6709999999999999
0,all_languages,cebuano_test,trad_clgsngo,88.5714,0.89,0.886,0.082,0.8155,ALL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.8753333333333334
0,all_languages,tagalog_test,mbert,47.1698,0.502,0.472,0.289,0.1908,ALL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.46166666666666667
0,all_languages,bikol_test,mbert,83.3333,0.857,0.833,0.126,0.7143,ALL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.702
0,all_languages,cebuano_test,mbert,87.1429,0.881,0.871,0.104,0.789,ALL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.8583333333333334
0,all_languages,tagalog_test,all,52.8302,0.554,0.528,0.257,0.2775,ALL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.49900000000000005
0,all_languages,bikol_test,all,86.6667,0.887,0.867,0.107,0.7714,ALL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.731
0,all_languages,cebuano_test,all,84.2857,0.858,0.843,0.131,0.7413,ALL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.831
0,all_languages,tagalog_test,xlmr,54.717,0.553,0.547,0.241,0.3094,ALL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.537
0,all_languages,bikol_test,xlmr,83.3333,0.799,0.833,0.113,0.7191,ALL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.7033333333333333
0,all_languages,cebuano_test,xlmr,74.2857,0.73,0.743,0.182,0.5732,ALL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.6826666666666666
0,all_languages,tagalog_test,all_xlmr,56.6038,0.578,0.566,0.233,0.3397,ALL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.5646666666666667
0,all_languages,bikol_test,all_xlmr,90.0,0.912,0.9,0.068,0.8324,ALL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.818
0,all_languages,cebuano_test,all_xlmr,82.8571,0.843,0.829,0.136,0.7181,ALL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.8073333333333333
1,mono_tagalog,tagalog_test,trad,52.8302,0.542,0.528,0.23,0.293,TGL,TGL,TRAD,TGL | TRAD,0.5246666666666666
1,mono_tagalog,bikol_test,trad,56.6667,0.603,0.567,0.182,0.372,TGL,BCL,TRAD,BCL | TRAD,0.5386666666666667
1,mono_tagalog,cebuano_test,trad,47.1429,0.582,0.471,0.238,0.236,TGL,CEB,TRAD,CEB | TRAD,0.4776666666666667
1,mono_tagalog,tagalog_test,trad_clgsngo,58.4906,0.579,0.585,0.213,0.3697,TGL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.5686666666666667
1,mono_tagalog,bikol_test,trad_clgsngo,56.6667,0.603,0.567,0.207,0.35,TGL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.5343333333333333
1,mono_tagalog,cebuano_test,trad_clgsngo,44.2857,0.492,0.443,0.276,0.1782,TGL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.4606666666666666
1,mono_tagalog,tagalog_test,mbert,58.4906,0.586,0.585,0.22,0.367,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.57
1,mono_tagalog,bikol_test,mbert,20.0,0.0,0.2,0.385,-0.1215,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.16733333333333333
1,mono_tagalog,cebuano_test,mbert,40.0,0.529,0.4,0.276,0.124,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.37999999999999995
1,mono_tagalog,tagalog_test,all,60.3774,0.604,0.604,0.209,0.3958,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.5856666666666667
