fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
1,mono_tagalog,cebuano_test,all,48.5714,0.578,0.486,0.197,0.2522,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.441
1,mono_tagalog,tagalog_test,xlmr,54.717,0.572,0.547,0.247,0.3034,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.5179999999999999
1,mono_tagalog,bikol_test,xlmr,43.3333,0.616,0.433,0.315,0.1053,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.2763333333333333
1,mono_tagalog,cebuano_test,xlmr,32.8571,0.543,0.329,0.206,0.0856,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.26933333333333337
1,mono_tagalog,tagalog_test,all_xlmr,54.717,0.575,0.547,0.247,0.3034,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.5186666666666667
1,mono_tagalog,bikol_test,all_xlmr,43.3333,0.616,0.433,0.315,0.1053,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.2763333333333333
1,mono_tagalog,cebuano_test,all_xlmr,35.7143,0.549,0.357,0.195,0.1265,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.2836666666666667
1,mono_bikol,tagalog_test,trad,39.6226,0.0,0.396,0.288,0.1026,BCL,TGL,TRAD,TGL | TRAD,0.308
1,mono_bikol,bikol_test,trad,73.3333,0.0,0.733,0.204,0.5376,BCL,BCL,TRAD,BCL | TRAD,0.5356666666666666
1,mono_bikol,cebuano_test,trad,58.5714,0.0,0.586,0.354,0.258,BCL,CEB,TRAD,CEB | TRAD,0.4293333333333333
1,mono_bikol,tagalog_test,trad_clgsngo,41.5094,0.0,0.415,0.296,0.1176,BCL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.3096666666666667
1,mono_bikol,bikol_test,trad_clgsngo,63.3333,0.0,0.633,0.252,0.3785,BCL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.4603333333333333
