fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,f1_macro
1,bi_tagalog_cebuano,cebuano_test,mbert,68.5714,0.7,0.686,0.164,0.5064,0.648
1,bi_tagalog_cebuano,tagalog_test,all,47.1698,0.0,0.472,0.249,0.2214,0.38199999999999995
1,bi_tagalog_cebuano,bikol_test,all,56.6667,0.643,0.567,0.198,0.3333,0.48899999999999993
1,bi_tagalog_cebuano,cebuano_test,all,68.5714,0.691,0.686,0.165,0.5058,0.6486666666666667
1,bi_tagalog_cebuano,tagalog_test,xlmr,41.5094,0.459,0.415,0.265,0.1469,0.36200000000000004
1,bi_tagalog_cebuano,bikol_test,xlmr,50.0,0.684,0.5,0.252,0.2308,0.4073333333333333
1,bi_tagalog_cebuano,cebuano_test,xlmr,61.4286,0.586,0.614,0.222,0.384,0.5353333333333333
1,bi_tagalog_cebuano,tagalog_test,all_xlmr,43.3962,0.471,0.434,0.257,0.1727,0.37800000000000006
1,bi_tagalog_cebuano,bikol_test,all_xlmr,50.0,0.684,0.5,0.252,0.2308,0.4073333333333333
1,bi_tagalog_cebuano,cebuano_test,all_xlmr,61.4286,0.576,0.614,0.224,0.3832,0.538
1,all_languages,tagalog_test,trad,47.1698,0.0,0.472,0.274,0.1996,0.35766666666666663
1,all_languages,bikol_test,trad,56.6667,0.557,0.567,0.243,0.3158,0.47866666666666663
1,all_languages,cebuano_test,trad,61.4286,0.582,0.614,0.211,0.3856,0.5143333333333333
1,all_languages,tagalog_test,trad_clgsngo,50.9434,0.683,0.509,0.259,0.2535,0.432
1,all_languages,bikol_test,trad_clgsngo,66.6667,0.0,0.667,0.232,0.435,0.48433333333333334
1,all_languages,cebuano_test,trad_clgsngo,64.2857,0.636,0.643,0.184,0.4402,0.5603333333333333
1,all_languages,tagalog_test,mbert,52.8302,0.549,0.528,0.233,0.293,0.5023333333333334
1,all_languages,bikol_test,mbert,50.0,0.52,0.5,0.35,0.1667,0.4543333333333333
1,all_languages,cebuano_test,mbert,68.5714,0.686,0.686,0.163,0.5013,0.6496666666666666
1,all_languages,tagalog_test,all,52.8302,0.61,0.528,0.233,0.293,0.5033333333333333
1,all_languages,bikol_test,all,50.0,0.576,0.5,0.293,0.2021,0.4443333333333333
1,all_languages,cebuano_test,all,72.8571,0.733,0.729,0.129,0.5718,0.6906666666666667
1,all_languages,tagalog_test,xlmr,52.8302,0.545,0.528,0.251,0.2807,0.5023333333333334
1,all_languages,bikol_test,xlmr,60.0,0.723,0.6,0.138,0.4175,0.5650000000000001
1,all_languages,cebuano_test,xlmr,70.0,0.697,0.7,0.158,0.5212,0.6573333333333333
1,all_languages,tagalog_test,all_xlmr,49.0566,0.484,0.491,0.269,0.2248,0.4746666666666666
1,all_languages,bikol_test,all_xlmr,56.6667,0.712,0.567,0.144,0.378,0.54
1,all_languages,cebuano_test,all_xlmr,68.5714,0.69,0.686,0.163,0.5029,0.6526666666666666
2,mono_tagalog,tagalog_test,trad,56.6038,0.695,0.566,0.247,0.3216,0.492
2,mono_tagalog,bikol_test,trad,36.6667,0.0,0.367,0.304,0.05,0.20366666666666666
2,mono_tagalog,cebuano_test,trad,38.5714,0.652,0.386,0.222,0.1528,0.369
2,mono_tagalog,tagalog_test,trad_clgsngo,49.0566,0.611,0.491,0.295,0.1988,0.40399999999999997
2,mono_tagalog,bikol_test,trad_clgsngo,40.0,0.0,0.4,0.335,0.0722,0.28333333333333327
2,mono_tagalog,cebuano_test,trad_clgsngo,35.7143,0.636,0.357,0.23,0.1196,0.33166666666666667
2,mono_tagalog,tagalog_test,mbert,64.1509,0.678,0.642,0.183,0.4554,0.6286666666666667
2,mono_tagalog,bikol_test,mbert,60.0,0.602,0.6,0.258,0.337,0.5226666666666667
2,mono_tagalog,cebuano_test,mbert,41.4286,0.449,0.414,0.255,0.141,0.37366666666666665
2,mono_tagalog,tagalog_test,all,66.0377,0.684,0.66,0.177,0.484,0.648
